Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Athletic Terminology,"Athletic Terminology refers to the specific lingo, terms, or phrases that are commonly associated with sports or athletic activities. This might include the names of sports, references to athletic positions or roles, sport rules, strategies, or events, etc.",What is the level of athletic terminology present in the text?,"['high', 'moderate', 'low', 'uncertain']","{'high': 'The text contains many terms that are specific to sports or athletic activities and could refer to specific sports, positions, roles, rules, strategies, events, etc.', 'moderate': ""The text contains one or a few mentions of athletic terminology, but it's not the main focus of the text."", 'low': 'The text does not contain any obvious references to athletic terminology, or only mentions it in passing.', 'uncertain': ""It's unclear whether the text contains athletic terms or not, possibly due to ambiguity or lack of context.""}","{'high': 2, 'moderate': 1, 'low': -1, 'uncertain': 0}"
Financial Terminology,"Financial Terminology refers to the specific vocabulary, terms or phrases that are commonly associated with economic, business or financial news. This could include terms like 'stocks', 'profit', 'market', 'investment', 'revenue', 'economy', etc.",What level of financial terminology is used in the text?,"['high', 'moderate', 'low', 'none']","{'high': 'The text is primarily concerned with financial terms and issues, including specific economic indicators, company profits or losses, stock values, business contracts, etc.', 'moderate': 'The text includes some financial terms and discussions, but they are not the dominant theme or subject of the text.', 'low': 'The text includes few financial terms or references to economic or business issues, primarily discussing other topics or subjects.', 'none': 'The text does not include any discernible financial terms or references to business matters. The content is about non-business related topics.'}","{'high': 3, 'moderate': 2, 'low': 1, 'none': 0}"
Technological terminology,"Technological terminology refers to the specific lingo, terms, or phrases that are commonly associated with technology, science or digital news. This could include terms like 'SQL', 'Linux', 'software', 'digital', 'DVD', 'PC', etc.",What is the level of technological terminology used in the text?,"['high', 'moderate', 'low', 'none']","{'high': 'The text contains multiple terms or phrases that are commonly associated with technology such as specific software, digital platforms, electronic devices, and so on.', 'moderate': 'The text contains a few terms or phrases related to technology but not enough to be considered a primary focus of the text.', 'low': 'The text contains only one or two terms or phrases related to technology.', 'none': 'The text does not contain any technological terms or phrases.'}","{'high': 3, 'moderate': 2, 'low': 1, 'none': 0}"
Global Affairs Terminology,"Global Affairs Terminology refers to specific words, terms or phrases frequently used in news focusing on international relations and world events. These might include terms such as 'diplomacy', 'conflict', 'treaty', 'international', 'countries or nation-specific terms', 'foreign policy' etc.",To what extent does the text use global affairs related terms and language?,"['high', 'moderate', 'low', 'none']","{'high': ""The text frequently uses terms that are commonly associated with global affairs and international events. Examples could include 'diplomacy', 'conflict', 'treaty', 'international', 'countries or nation-specific terms', 'foreign policy'..."", 'moderate': 'The text contains some global affairs related terminology, but it is not the main focus of the article.', 'low': 'The text contains very few global affairs related terms, the terminology is hardly related to international events or affairs.', 'none': 'The text does not contain any obvious global affairs related terms.'}","{'high': 3, 'moderate': 2, 'low': 1, 'none': 0}"
Geopolitical References,"Geopolitical references include mentioning countries, global events, native political systems or terminologies, international leaders or globally recognized figures, conflicts, treaties, international policies and interactions, national agencies etc. These provide an understanding of international or world affairs, international relations, and global politics.",Does the text contain references to geopolitical entities or events?,"['numerous references', 'few references', 'no reference', 'uncertain']","{'numerous references': 'The text contains many mentions of countries, international events, conflicts or widely recognized political figures, suggesting a high focus on global news or topics.', 'few references': 'The text includes some mentions of global entities, interactions or events but they are not the central focus of the article.', 'no reference': 'The text does not mention any global entities, figures, interactions or events.', 'uncertain': 'It is unclear or ambiguous if the text truly references global entities, figures or events in a significant manner.'}","{'numerous references': 2, 'few references': 1, 'no reference': -1, 'uncertain': 0}"
Space and Astronomy References,"Space and Astronomy References refer to words, phrases, or topics that are specifically associated with space science, astronomy, and the universe. These may include terms such as 'NASA', 'satellite', 'planet', 'orbit', 'space', 'astronaut', etc.",Does the text contain references to space science and astronomy?,"['many references', 'few references', 'no reference', 'uncertain']","{'many references': 'The text includes multiple keywords or topics related to space science or astronomy, discussion about space agencies, missions, celestial bodies, or space technologies.', 'few references': 'The text mentions space science or astronomy a couple of times or in a limited context, but it is not the main focus of the discussion.', 'no reference': 'The text does not contain any references to space science or astronomy.', 'uncertain': ""It's unclear whether the text is referencing space science or astronomy, or the references are ambiguous or lack sufficient context.""}","{'many references': 2, 'few references': 1, 'no reference': -1, 'uncertain': 0}"
World Events References,"World Events References refer to the appearance of significant global events or happenings in the world. These could be major political events, international disputes or negotiations, wars, treaties, or major social events. These are aspects that have a global impact or interest.",How many references to major worldwide events are in the text?,"['numerous references', 'few references', 'no references', 'uncertain']","{'numerous references': 'The text contains multiple mentions of significant worldwide events. These could include international disputes, major political events, wars, treaties, or significant social changes.', 'few references': 'The text mentions one or two major worldwide events or happenings, but they are not the primary focus of the text.', 'no references': 'The text does not mention any significant worldwide events or happenings.', 'uncertain': 'It is unclear whether the text includes references to major worldwide events. The text might be ambiguous or lack sufficient context.'}","{'numerous references': 2, 'few references': 1, 'no references': -1, 'uncertain': 0}"
Scientific Concepts References,"Scientific Concepts References refer to the appearance of significant scientific principles, theories, hypotheses, or concepts in the text. These could be from various scientific disciplines including physics, chemistry, biology, astronomy, technology etc. These are aspects that have high relevance in making advancements in scientific knowledge or understanding. This does not include technological products or applications, as we cover that in the 'Technological Terminology' concept.","What do the references made in the text say about scientific concepts, theories, principles, or hypotheses?","['high reference', 'moderate reference', 'low reference', 'no reference']","{'high reference': 'The text contains numerous mentions or discussions of scientific concepts, theories, or principles. These references are central to the understanding of the text content.', 'moderate reference': 'The text contains some mentions or discussions of scientific concepts, theories, or principles. These references enhance the understanding of the content but are not central to it.', 'low reference': 'The text contains few mentions or discussions of scientific concepts, theories, or principles. These references are not crucial to the understanding of the text content.', 'no reference': 'The text does not contain any mentions or discussions of scientific concepts, theories, or principles.'}","{'high reference': 2, 'moderate reference': 1, 'low reference': -1, 'no reference': -2}"
Science-related Entity References,"This concept captures references to scientific or technological entities such as scientific research institutes, laboratories, scientific equipments, experiment names, scientific methods/processes, important scientific figures, technology companies, technological devices etc. These references provide a cue about the major focus of the text being towards scientific or technological narratives.","Does the text refer to specific science-related entities such as research institutes, laboratories, scientific equipments, experiment names, scientific processes, important scientific figures, technology companies, technological devices?","['numerous references', 'few references', 'no references', 'uncertain']","{'numerous references': 'The text has multiple and explicit mentions of science-related entities that significantly contribute to the content of the text. For example mentioning NASA, World Wide Web, Nobel Prize, etc.', 'few references': 'The text has one or a few mentions of science-related entities but they are not the major focus of the text.', 'no references': 'The text does not mention any science-related entities.', 'uncertain': 'It is unclear if the text refers to any science-related entities or the context is too ambiguous to determine.'}","{'numerous references': 1, 'few references': -1, 'no references': -2, 'uncertain': 0}"
Specific Scientific Phenomena Mention,"This concept refers to the explicit mention of specific scientific phenomena, theories, or entities in the text. While 'Scientific Concepts References' tends to be broader in respect to scientific principles or theories, this concept focuses solely on the mention of distinct phenomena or entities that are objects of scientific study.","Does the text include a mention or discussion of a specific scientific phenomenon, theory or entity?","['high', 'moderate', 'low', 'no']","{'high': 'The text significantly focuses on one or more specific scientific phenomena, theories, or entities, with in-depth mention or discussion.', 'moderate': 'The text mentions or discusses a scientific phenomenon, theory, or entity, but it may not be the central focus of content.', 'low': 'The text barely mentions or lightly discusses a scientific phenomenon, theory or entity.', 'no': 'The text does not include any clear or discernable specific scientific phenomena, theories or entities.'}","{'high': 3, 'moderate': 2, 'low': 1, 'no': 0}"
