Concept Name,Concept Description,Concept Question,Possible Responses,Response Guide,Response Mapping
Financial and Market Terminologies,"The concept refers to the presence of financial, economic and market-related terminologies or phrases in the text. These could include mention of stocks, transactions, investments, profit, loss, economy etc. Texts under the business label usually contain such elements.","Does the text contain financial, economic or market-related terms or ideas?","['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text contains a prominent number of financial or economics-based terms, these could include words and phrases related to the economy, stock market, business transactions etc.', 'minimal': 'The text contains few financial or economics-based terms, they are not the main theme of the text.', 'none': 'The text lacks any financial, economic or market-related terms.', 'uncertain': 'It is not clear whether or not the text contains any financial or economic terms, maybe because of ambiguity or lack of context.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
Sports Terminologies,"Sports Terminologies refers to the occurrence of words, phrases or references related to different kinds of sports in the text. These may include names of sports, players, teams, tournaments, and common terms associated with playing or discussing sports.",How prominently are sports terminologies featured in the text?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text contains many sports-related words or phrases or the text revolves around a sports theme.', 'minimal': 'There are a few sports terms in the text but they are not the main focus of the content.', 'none': 'There are no sports-related terms in the text.', 'uncertain': 'It is unclear whether sports terminologies are used.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
Technological References,"This concept refers to the presence of technological terms, references, or jargon in the text. These could refer to specific hardware or software, tech companies, recent tech news or events, or other related concepts. Text under the 'sci/tech' label are likely to contain these elements.",How prominent are technological references in the text?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'Technological references are a major part or focus of the text. The language used or topics discussed are significantly related to technology or tech industries.', 'minimal': 'There are a few technological references present, but they do not constitute a significant part of the text. The language or topics discussed are somewhat related to technology or tech industries.', 'none': 'There are no noticeable technological references in the text. It appears to have no relation to technology or tech industries.', 'uncertain': 'It is difficult to determine the presence or prominence of technological references in the text.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
Business Operations References,"This concept refers to the presence of phrases and terms related to business operations, such as mergers & acquisitions, sales, investments, profits, losses, financial results, stock exchange details, etc. in the text. Business news often contains information or discussions about such business activities.",Does the text contain terms or phrases related to business operations?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': ""The text contains several references to business operations, and these form a major part of the text's content."", 'minimal': ""The text contains a few references to business operations, but these do not form a major part of the text's content."", 'none': 'The text does not contain any references to business operations.', 'uncertain': 'It is difficult to ascertain whether the text contains references to business operations or the references are vague or unclear.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
Specificities of Sports Events,"This concept relates to the details specific to sports events such as points scored, teams or individual players involved, tournaments or leagues, timings or dates of matches, and rule specifics. Instances where such specificities form a major part of the text are often associated with the 'sports' label.",How prominently does the text detail specificities associated with sports events?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text prominently details sports-specific elements such as points scored, leagues, teams, players, timings of matches, etc. These details form a major part of the narrative.', 'minimal': 'There is minimal mentioning of sports-specific elements in the text. These details do not form a major part of the narrative.', 'none': 'The text does not mention any sports-specific details.', 'uncertain': ""It's unclear or ambiguous as to whether the text contains specifics related to sports events.""}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
International Relations Content,"This concept refers to the extent to which the text features topics related to international relations, geopolitical issues, governmental decision making, and discussions about political leaders or countries. This is commonly seen in texts labelled 'world'.",How prominent are international relations themes in the text?,"['prominent', 'visible but not dominating', 'none', 'uncertain']","{'prominent': 'The entire text or a large portion of it revolves around international relations, geopolitics, governmental decisions, or discussions about countries or political leaders.', 'visible but not dominating': 'International relations themes are present but do not form the majority of the content in the text.', 'none': 'There are no mentions or references to international relations or geopolitics in the text.', 'uncertain': ""It's unclear or ambiguous whether the text contains elements related to international relations or geopolitics.""}","{'prominent': 2, 'visible but not dominating': 1, 'none': -2, 'uncertain': 0}"
Geopolitical Terminologies,"This concept refers to the presence of geopolitical terms, references, or phrases in the text. These could include the names of countries, cities, or continents, political leaders, geopolitical events, international relations issues, or broad socio-political matters. Texts under the 'world' label usually contain such elements.",What is the level of geopolitical terminologies in the text?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text prominently features geopolitical terminologies related to countries, cities, continents, political leaders, or events. The context and information in the text greatly revolve around these terminologies.', 'minimal': 'Geopolitical terminologies are present, but do not dominate the text. They serve as minor details, not as the primary focus of the text.', 'none': 'The text does not contain any geopolitical terminologies.', 'uncertain': 'It is unclear whether geopolitical terminologies feature in the text or their prominence in the text cannot be determined.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
Global Issues and Events,"This concept refers to the presence of references or discussions of global events, international issues, or widely impactful happenings in the text. These could include references to wars, natural disasters, widespread social issues, global health crises, or international diplomatic events. Texts with the 'world' label often contain such elements.",Are there references to significant global issues or events in the text?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text largely discusses or revolves around significant global issues or events. These can include wars, natural disasters, widespread social issues, global health crises, or international diplomatic events.', 'minimal': 'The text makes few references to global issues or events, but they do not form the main subject of the text.', 'none': 'The text does not contain any references to significant global issues or events.', 'uncertain': 'It is difficult to determine whether the text contains references to global issues or events. The references might be vague, ambiguous, or lack sufficient context.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
References to Company Activities,"This concept refers to references to specific activities, actions, or decisions made by companies or organizations, such as mergers, acquisitions, economic decisions, organizational changes, etc. Business-related text often contains information or discussions regarding company activities.",Does the text contain references or discussions related to specific company activities or actions?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text contains multiple references to company activities, or a single company activity is the primary focus of the text.', 'minimal': 'The text contains a few references to company activities but they are not the primary focus.', 'none': 'The text does not mention any company activities.', 'uncertain': 'It is either uncertain if company activities are being referenced or the text is too ambiguous to make a clear determination.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
Scientific Terms and Concepts,"This concept refers to the presence and prominence of scientific terms, phrases, or references in the text. This typically includes naming specific scientific processes, theories, or tools. It can also involve discussing recent developments or breakthroughs in various scientific fields.",How prominent are scientific terms and concepts in the text?,"['prominent', 'minimal', 'none', 'uncertain']","{'prominent': 'The text contains several clear references to specific scientific terms, theories, or new developments. The scientific context is a major part of the main topic or narrative.', 'minimal': 'The text contains a few scientific references or terms, but they are not vital to the main topic or narrative.', 'none': 'The text does not contain any clear scientific terms or references.', 'uncertain': 'It is unclear or the text is too ambiguous to determine whether there are scientific terms or references.'}","{'prominent': 2, 'minimal': 1, 'none': -1, 'uncertain': 0}"
